article	aid	url	img	iid	hashvalue	title	text	nImpressions	nRecs	nClicks	imgFile
509673748	118717	https://www.ksta.de/sport/1-fc-koeln/1--fc-koeln-lasse-sobiech-kehrt-mit-kampfansage-zurueck-31833700	https://www.ksta.de/image/31833720/2x1/300/150/c20197634d37cd894b95363fb5fe970e/ib/sobiech-training.jpg	119353		Lasse Sobiech kehrt mit Kampfansage zurück	Der 1. FC Köln kann im Kampf um den Aufstieg in die Bundesliga wieder mit seinem Verteidiger Lasse Sobiech rechnen. Der 27-Jährige trainierte am Sonntag erstmals wieder mit dem Team, nachdem er sich im Oktober einen Zehenbruch zugezogen hatte.widgetEr wol	111	14	0	31833720c20197634d37cd894b95363fb5fe970eib.jpg
509673825	118718	https://www.ksta.de/politik/neues-gesetz-frauen-in-saudi-arabien-erfahren-nun-per-sms-von-der-scheidung-31833664	https://www.ksta.de/image/31833710/2x1/300/150/ee0f98e6a218b5fa1eabbded1e704bb5/qV/kronprinz-von-saudi-arabien.jpg	119354		Frauen in Saudi-Arabien erfahren nun per SMS von der Scheidung	Frauen sollen in Saudi-Arabien künftig vom Gericht per SMS über die Scheidung ihrer Ehe informiert werden. Frauen würden ab sofort per Textnachricht „über jegliche Änderung ihres Familienstandes benachrichtigt“, zitierte der Nachrichtensender Al-Echbarija	79	0	0	31833710ee0f98e6a218b5fa1eabbded1e704bb5qV.jpg
509675795	118719	https://www.ksta.de/sport/fortuna-koeln/fortuna-koeln-torflaute-aergert-kapitaen-hamdi-dahmani-31833752	https://www.ksta.de/image/31833766/2x1/300/150/391281e3d88cc696a10b9bf0489b8fe6/He/dahmani-torflaute.jpg	119355		Torflaute ärgert Kapitän Hamdi Dahmani	Entspannt verlief das Überwintern beim SC Fortuna Köln nicht – doch es hätte deutlich schlimmer sein können. „Gefühlt wird das Programm für die freien Tage immer härter“, sagt Kapitän Hamdi Dahmani mit einem Lächeln. Co-Trainer André Filipovic hatte die P	122	0	0	31833766391281e3d88cc696a10b9bf0489b8fe6He.jpg
509677268	118721	https://www.ksta.de/sport/bayer04/trainer-peter-bosz-bayer-04-leverkusens-neuer-juwelier-31833808	https://www.ksta.de/image/31833810/2x1/300/150/df074eba43904e6602d6f48c9b2c8a6b/mK/bosz-training.jpg	119357		Bayer 04 Leverkusens neuer Juwelier	Matthijs de Ligt (19), Frenkie de Jong (21), Justin Kluivert (20). Nein, das sind keine Fußballer, um die sich Gerüchte über einen Wechsel zu Bayer 04 Leverkusen ranken. Sie sind ein Versprechen für die Zukunft des niederländischen Fußballs und potenziell	393	0	0	31833810df074eba43904e6602d6f48c9b2c8a6bmK.jpg
509678459	118723	https://www.ksta.de/sport/mix/vierschanzentournee--kobayashi-gelingt-grand-slam---eisenbichler-zweiter-31833900	https://www.ksta.de/image/31833914/2x1/300/150/f0592f61f6ed2d2f856788429d148ca4/cw/329c4c009c7eabde.jpg	119359		Kobayashi gelingt Grand Slam – Eisenbichler Zweiter	Der Japaner Ryoyu Kobayashi hat die 67. Vierschanzentournee gewonnen und als dritter Skispringer den Grand Slam mit vier Tagessiegen geschafft. Nach Erfolgen in Oberstdorf, Garmisch-Partenkirchen und Innsbruck setzte sich der 22-Jährige am Sonntag auch in	26	4	0	31833914f0592f61f6ed2d2f856788429d148ca4cw.jpg
509679026	118724	https://www.ksta.de/panorama/von-sicherheitskraeften-festgehalten--18-jaehriger-aus-giessen-in-aegypten-vermisst-31833860	https://www.ksta.de/image/31833934/2x1/300/150/b527263dd610121f55f76824a5034f13/Yw/egyptian-security-fo-48483192.jpg	119360		18-Jähriger aus Gießen in Ägypten vermisst	Ein 18-Jähriger aus Gießen wird Medienberichten zufolge in Ägypten vermisst und möglicherweise von den Sicherheitskräften festgehalten. Der Vater des jungen Mannes mit ägyptischen Wurzeln berichtete der „Hessenschau“ zufolge, dass sein Sohn im Dezember na	3	40	0	31833934b527263dd610121f55f76824a5034f13Yw.jpg
509683439	118726	https://www.ksta.de/koeln/islamkonferenz-radikale-islamisten-bei-ditib-konferenz-in-koeln-gesichtet-31834048	https://www.ksta.de/image/31325900/2x1/300/150/8908a6e9d561c2067717a37c317ceab0/RI/blick-ueber-die-ehrenfelder-moschee.jpg	119362		Radikale Islamisten bei Ditib-Konferenz in Köln gesichtet	Die Türkisch-Islamische Union Ditib pflegt offenbar enge Kontakte zu mutmaßlich führenden Islamisten der Muslimbruderschaft (MB) in Deutschland. So hat die türkische Regierung vergangene Woche in der Kölner Ditib-Zentralmoschee in Ehrenfeld eine Islamkonf	565	21	0	313259008908a6e9d561c2067717a37c317ceab0RI.jpg
509683566	118727	https://www.ksta.de/wirtschaft/wegen-des-motivs-klopapier-von-dm-loest-hamsterkaeufe-aus-31834078	https://www.ksta.de/image/29846290/2x1/300/150/b5f6f50d8ad7de725db18ac085256693/ox/dm.jpg	119363		Klopapier von dm löst Hamsterkäufe aus	In den letzten Monaten und Jahren gab es einige Trends: Zuerst bekam man haufenweise Sachen mit Einhörnern zu kaufen, nachher waren es die Flamingos.Die Drogeriemarktkette „dm“ könnte nun einen neuen Hype ausgelöst haben – für den eigenen Verkauf hat sich	672	39653	260	29846290b5f6f50d8ad7de725db18ac085256693ox.jpg
509685374	118728	https://www.ksta.de/sport/fussball/franck-rib%C3%A9ry-der-tanz-ums-goldene-steak-31834088	https://www.ksta.de/image/31834096/2x1/300/150/6e17ef2ab981fa7b16735b8b8cd2aaeb/fj/riberykatar.jpg	119364		Der Tanz ums goldene Steak	Der Verzehr von Blattgold gilt grundsätzlich als ungefährlich, zumindest war das bis zum vergangenen Wochenende so. Gold reichert sich im Körper nicht an und wird für gewöhnlich mit dem Rest der verdauten Nahrung wieder ausgeschieden. In Dubai gibt es ein	209	283	0	318340966e17ef2ab981fa7b16735b8b8cd2aaebfj.jpg
509689959	118729	https://www.ksta.de/panorama/regen-und-schneeschauer-tief--benjamin--sorgt-fuer-schwere-sturmboeen-31834106	https://www.ksta.de/image/31834164/2x1/300/150/9be5a285734aab3e337e99fe2ba2d395/hE/schnee-bayern.jpg	119365		Tief „Benjamin“ sorgt für schwere Sturmböen	Nach einem weißen Wochenende und Lawinengefahr in den bayerischen Alpen lassen die Schneefälle im Alpenraum nach Angaben des Deutschen Wetterdienstes (DWD) am Montag zunächst nach.Im Nordwesten Deutschlands macht sich allerdings bereits das Tief „Benjamin	15	34	0	318341649be5a285734aab3e337e99fe2ba2d395hE.jpg
509690980	118730	https://www.ksta.de/ratgeber/finanzen/geld/verbraucherzentrale-warnt-betrueger-machen-jagd-auf-sparkassen-kunden-31834166	https://www.ksta.de/image/31834182/2x1/300/150/9d408633576c35f7a82cfdd467b8b866/Bo/sparkasse-symbol-98305547.jpg	119366		Betrüger machen Jagd auf Sparkassen-Kunden	Sie versuchen es schon wieder: Sparkassen-Kunden sollten Mails ihrer Bank derzeit mit Vorsicht lesen. Die Verbraucherzentrale NRW warnt erneut vor Betrügern. Es geht um E-Mails, die scheinbar von der Sparkasse stammen. Sie haben das Sparkassen-Logo, sehen	284	1454	7	318341829d408633576c35f7a82cfdd467b8b866Bo.jpg
509691977	118731	https://www.ksta.de/sport/fussball/nach-ausraster-franck-rib%C3%A9ry-meldet-sich-zu-wort---eine-entschuldigung-gibt-s-nicht-31834198	https://www.ksta.de/image/31834200/2x1/300/150/b552846626e3ead799e158cb77f6c94d/zq/franck-rib%C3%A9ry-5f9c4c002cde74d5.jpg	119367		Franck Ribéry meldet sich zu Wort – eine Entschuldigung gibt's nicht	Nach seinem obszönen Internet-Ausraster hat sich Franck Ribéry vom FC Bayern München jetzt erstmals zu Wort gemeldet.Der französische Star-Kicker des Rekordmeisters twitterte: „Macht euch keine Sorgen, es geht mir gut. Und nun zurück zum ernsten Geschäft,	158	2369	11	31834200b552846626e3ead799e158cb77f6c94dzq.jpg
509693661	118732	https://www.ksta.de/kultur/-tatort--aus-koeln--weiter--immer-weiter--fuehrt-den-zuschauer-an-der-nase-herum-31829944	https://www.ksta.de/image/31829968/2x1/300/150/69da28ba947435e1863403ca501f850a/gz/tatort-06-01-.jpg	119368		„Weiter, immer weiter“ führt den Zuschauer an der Nase herum	Im neuen Tatort aus Köln „Weiter, immer weiter“ sind sich Ballauf (Klaus J. Behrendt) und Schenk (Dietmar Bär) nicht einig. Der FallEine gewöhnliche Verkehrskontrolle endete in Köln in einer Tragödie. Der Fahrer des angehaltenen Wagens lief in Panik davon	128	334	0	3182996869da28ba947435e1863403ca501f850agz.jpg
509699215	118735	https://www.ksta.de/sport/fussball/in-den-usa-wayne-rooney-voruebergehend-festgenommen--31834338	https://www.ksta.de/image/31834342/2x1/300/150/8a5e8c46b0b33cd0deb0df29627bc456/GJ/wayne-rooney.jpg	119371		Wayne Rooney vorübergehend festgenommen	Der englische Fußball-Star Wayne Rooney ist in den USA wegen Alkohol-Konsums in der Öffentlichkeit vorübergehend festgenommen worden. Nach Angaben der örtlichen Polizei von Washington habe der frühere Kapitän der Three Lion am internationalen Flughafen Du	250	3161	12	318343428a5e8c46b0b33cd0deb0df29627bc456GJ.jpg
509711250	118736	https://www.ksta.de/region/leverkusen/leichlingen/leichlingen-der-erste-ritterschlag-fuer-eine-frau-31834682	https://www.ksta.de/image/31834676/2x1/300/150/ee0ca02c9dfd024e44012c5271ed1c30/za/eine-premiere--axel-i--schlaegt-rosi-schlink-zur-ritterin-.jpg	119372		Der erste Ritterschlag für eine Frau	Rosi Schlink konnte es sichtlich gar nicht fassen: Überrascht schlug sie die Hände vor dem Mund und begann, zu lachen. Noch vor wenigen Minuten schlug der Leichlinger Prinz Axel I., auch als Axel Steinacker bekannt, den Karnevalisten Markus Zwank zum Ehre	124	0	0	31834676ee0ca02c9dfd024e44012c5271ed1c30za.jpg
509711252	118737	https://www.ksta.de/region/leverkusen/leichlingen/leichlingen-versiert-an-der-neuesten-wersi-31834674	https://www.ksta.de/image/31834672/2x1/300/150/a4f8fe4629d7b9d44d2a2c1eb4918454/qs/claudia-hirschfeld--rechts---sophie-schwerthoeffer.jpg	119373		Versiert an der neuesten Wersi	Ohne Worte ging es los. Claudia Hirschfeld setzte sich und ließ einfach die Musik sprechen. Die kam in der Christuskirche so facettenreich aus den Lautsprechern, als würde mehr als nur eine Musikerin im Altarraum stehen. Die Organistin schwört auf ihre We	31	0	0	31834672a4f8fe4629d7b9d44d2a2c1eb4918454qs.jpg
509711302	118738	https://www.ksta.de/region/leverkusen/mehr-jecke-maedscher-als-plaetze-31834718	https://www.ksta.de/image/31834714/2x1/300/150/20473ca9adab8ba07c28b4d86d5457a/Ok/ganz-schoen-was-los-war-auf-der-maedchensitzung-.jpg	119374		Mehr jecke Mädscher als Plätze	Es war die erste Mädchensitzung in diesem Jahr. Knapp 350 Frauen feierten am Sonntag, 6. Januar, ausgelassen in der vollen Stadthalle in Bergisch Neukirchen. Die K.G. Stadtgarde Opladen hatte nach dem großen Erfolg im Vorjahr nun schon zum zweiten Mal zur	45	2	0	3183471420473ca9adab8ba07c28b4d86d5457aOk.jpg
509711303	118739	https://www.ksta.de/region/leverkusen/kein-leichtes-jahr-fuer-mazda-31834704	https://www.ksta.de/image/31834702/2x1/300/150/740aceeef7803674b394e3a9dbda1745/db/zitat---2019-01-07-03-02-02-130.jpg	119375		Kein leichtes Jahr für Mazda	Automobile Als „turbulent“ bezeichnet Mazda das gerade vergangene Jahr. Die wegen der massenhaften Manipulation der Abgaswerte eingeführte Norm Euro 6 d-Temp habe die Branche „ordentlich durcheinandergewirbelt“. In der Deutschland-Zentrale habe man die r	357	0	0	31834702740aceeef7803674b394e3a9dbda1745db.jpg
509711308	118741	https://www.ksta.de/region/leverkusen/routinierter-gospel-31834698	https://www.ksta.de/image/31834696/2x1/300/150/c207d05444f8080455e3853a5a61534e/MA/waehrend-andere-choere-nachwuchsprobleme-haben--ist-gospel-populaer-wie-nie.jpg	119377		Routinierter Gospel	Wenn man es genau nimmt, dann präsentiert sich die St.-Remigius-Kirche an diesem Abend für dieses Konzert nicht als idealer Ort: Sie ist zu schlecht ausgeleuchtet, die Bühne liegt im Zwielicht. Außerdem ist die Akustik im nicht ausverkauften Gotteshaus eh	13	0	0	31834696c207d05444f8080455e3853a5a61534eMA.jpg
509711311	118742	https://www.ksta.de/region/leverkusen/burscheid/burscheid-zweites-leben-fuer-kleingeraete-31834712	https://www.ksta.de/image/31834710/2x1/300/150/5398e06ff394a86097db3cf249a44203/ju/reparaturversuch-im-tri-caf%C3%A9--manfred-buch-und-klaus-schafenort-untersuchen-einen-defekten-stabmixer-.jpg	119378		Zweites Leben für Kleingeräte	Unter den Weihnachtsbäumen dürften als Geschenk verpackt wieder einige Elektrogeräte gelegen haben. Die alten haben dann meist ausgedient und landen bei den Sammelstellen für E-Schrott und auf den Wertstoffhöfen. Doch das Reparatur-Café in Burscheid will	92	0	0	318347105398e06ff394a86097db3cf249a44203ju.jpg
509711313	118743	https://www.ksta.de/region/leverkusen/ehrennadel-fuer-ruediger-otto-31834722	https://www.ksta.de/image/31834720/2x1/300/150/42f657bfef4124f256e769a8db2441db/sc/ruediger-otto.jpg	119379		Ehrennadel für Rüdiger Otto	Handwerk Die Goldene Ehrennadel, das ist schon was. Rüdiger Otto, Bauunternehmer aus der Fixheide, hat sie jetzt von Joachim Selzer angesteckt bekommen. Der Vorsitzende des Straßen- und Tiefbau-Verbands im Land würdigte damit Ottos seit zehn Jahren währen	9	0	0	3183472042f657bfef4124f256e769a8db2441dbsc.jpg
509711418	118744	https://www.ksta.de/kultur/orpheus--unterwelt-op-koelsch-31834670	https://www.ksta.de/image/31834668/2x1/300/150/1a1afa760a625a89440bc04a220e5f8c/aI/biggi-wanninger-am-sonntag-beim-neujahrskonzert-des-koelner-guerzenich-orchesters.jpg	119380		Orpheus’ Unterwelt op Kölsch	Wer in Köln mit einer Offenbachiade ins frische Jahr startet – eben das Jahr zum 200. Offenbach-Geburtstag – landet, das muss wohl so sein, ziemlich umstandslos im Karneval. So geschehen beim (von städtischer Prominenz reich besuchten) Neujahrskonzert des	56	0	0	318346681a1afa760a625a89440bc04a220e5f8caI.jpg
509713408	119281	https://www.ksta.de/panorama/kevin-spacey-muss-vor-gericht-erscheinen-31834762	https://www.ksta.de/image/31834782/2x1/300/150/e3bb2ac3b19f58a1c442ffd6edfe69b8/vl/urn-newsml-dpa-com-20090101-190107-99-456242-large-4-3.jpg	119917		Kevin Spacey muss vor Gericht erscheinen	Nach Vorwürfen sexueller Übergriffe muss der US-Schauspieler Kevin Spacey (59) am Montag vor Gericht erscheinen. Ein Richter auf der Insel Nantucket im US-Bundesstaat Massachusetts hatte die Anhörung angesetzt.Die Vorwürfe von unsittlichem Angriff und Kör	2	0	0	31834782e3bb2ac3b19f58a1c442ffd6edfe69b8vl.jpg
509715677	119282	https://www.ksta.de/kultur/-bohemian-rhapsody--gewinnt-top-globe-31834866	https://www.ksta.de/image/31834864/2x1/300/150/56aefd29f0b17559b041fb550899aa42/Vm/urn-newsml-dpa-com-20090101-190107-99-457089-large-4-3.jpg	119918		„Bohemian Rhapsody” gewinnt Top-Globe	Der Film „Bohemian Rhapsody” über Queen-Frontmann Freddie Mercury hat den Golden Globe als bestes Filmdrama gewonnen.Das gab der Verband der Auslandspresse in der Nacht zum Montag in Beverly Hills bekannt. (dpa)	3	0	0	3183486456aefd29f0b17559b041fb550899aa42Vm.jpg
509717781	118745	https://www.ksta.de/koeln/innenstadt/massnahme-gegen-dicke-kotschicht-das-taubenhaus-am-hansaring-kommt-spaeter-als-geplant-31833012	https://www.ksta.de/image/31833010/2x1/300/150/1f6a251831a16debe0fce96f5c9998d1/mr/tauben-in-koeln-060119.jpg	119381		Das Taubenhaus am Hansaring kommt später als geplant	Die Nutzer der U-Bahnhaltestelle Hansaring müssen noch etwas länger gedulden, bis der Taubenkot, der sich dort zentimeterdick schichtet, reduziert werden kann. Die Stadt benötigt mindestens drei weitere Monate, um gegenüber dem Hansa-Gymnasium ein Taubenh	183	7937	37	318330101f6a251831a16debe0fce96f5c9998d1mr.jpg
509717915	118765	https://www.ksta.de/kultur/golden-globes---bohemian-rhapsody--raeumt-ab---daniel-bruehl-geht-leer-aus-31834922	https://www.ksta.de/image/31834920/2x1/300/150/91b0a2418bb35076f399ebdaa8a99d0a/Uq/malek-afp-neu.jpg	119401		„Bohemian Rhapsody“ räumt ab – Daniel Brühl geht leer aus	Der Film „Bohemian Rhapsody“ über Queen-Frontmann Freddie Mercury hat den Top-Globe als bestes Filmdrama gewonnen. Hauptdarsteller Rami Malek wurde zum besten Drama-Darsteller gekürt. In der Komödien-Sparte siegte die Filmbiografie „Green Book“, die auch	54	599	4	3183492091b0a2418bb35076f399ebdaa8a99d0aUq.jpg
509718039	118746	https://www.ksta.de/region/leverkusen/stadt-leverkusen/hitdorfer-hindernisrennen-baustelle-an-der-rheinbruecke-sorgt-fuer-aerger-bei-radfahrern-31832648	https://www.ksta.de/image/31832646/2x1/300/150/71dc791f0842784193e6d21fc709468e/mP/grafik.jpg	119382		Baustelle an der Rheinbrücke sorgt für Ärger bei Radfahrern	Der Radler ist schon sehr erbost: Von einer „unnötigen und gefährlichen Zumutung“ ist die Rede. Und das nur, „damit die Bauarbeiter ungestört auf ihren Parkplatz fahren können“. Gemeint sind die Leute von Porr, die in den kommenden Jahren zwei neue Rheinb	33	0	0	3183264671dc791f0842784193e6d21fc709468emP.jpg
509718040	118747	https://www.ksta.de/region/euskirchen-eifel/euskirchen/-fiere---anstatt-lamentiere---euskirchener-dreigestirn-geniesst-superstart-31833694	https://www.ksta.de/image/31833684/2x1/300/150/65efdc38b5edb97a3a80c9e5452cb02e/yv/71-142368805--null--06-01-2019-18-33-44-687-.jpg	119383		Euskirchener Dreigestirn genießt Superstart	Einmal zehn und zweimal sieben auf einer Skala bis zehn: Das waren die Werte, die drei Herren von der Karnevalsgesellschaft Alt Oeskerche als Nervositätsgrade angaben, wenige Minuten bevor sie im City-Forum zum Euskirchener Dreigestirn ernannt wurden. „Bi	240	1	0	3183368465efdc38b5edb97a3a80c9e5452cb02eyv.jpg
509718041	118748	https://www.ksta.de/region/rhein-berg-oberberg/roesrath/infrastruktur-in-roesrath-trotz-rueckschlaege-kommt-der-ausbau-voran-31833222	https://www.ksta.de/image/31833218/2x1/300/150/d23df4f02f1827def65123c9c4f77b85/iM/71-142362321--null--06-01-2019-17-00-50-340-.jpg	119384		Trotz Rückschläge kommt der Ausbau voran	Baustellen und gesperrte Straßen hielten die Rösrather 2018 in Atem, im Blickpunkt standen erneut die Sanierung des Freiherr-vom-Stein-Schulzentrums und die Entwicklung der Schullandschaft.Gesperrte Straßen: Ein Hangabrutsch an der Baustelle Hauptstraße 8	766	0	0	31833218d23df4f02f1827def65123c9c4f77b85iM.jpg
509718045	118749	https://www.ksta.de/region/rhein-sieg-bonn/eitorf---windeck/altwindecker-heimatmuseum-finanzspritze-vom-kirchenchor-caecilia-dattenfeld-31832926	https://www.ksta.de/image/31832922/2x1/300/150/90dfba775ead716d438abaa16de67855/Oz/71-142362888--null--06-01-2019-16-07-00-447-.jpg	119385		Finanzspritze vom Kirchenchor Cäcilia Dattenfeld	2365 Euro Spende – das ist eine ordentliche Finanzspritze für das Altwindecker Heimatmuseum. Michael Witte, der Vorsitzende des Kirchenchors Sankt Cäcilia Dattenfeld, überreichte den Scheck an Jens Klein und Willi Hinz vom Museum. Das Geld stammt aus dem	274	25	0	3183292290dfba775ead716d438abaa16de67855Oz.jpg
509718054	118750	https://www.ksta.de/region/rhein-erft/kerpen/in-tanz-und-musik-geschult-kerpener-stadtdreigestirn-startet-in-die-session-31833606	https://www.ksta.de/image/31833604/2x1/300/150/fc4466f69613fb0282d2c8fba041d7d1/oC/71-142362119--null--06-01-2019-18-20-19-977-.jpg	119386		Kerpener Stadtdreigestirn startet in die Session	Beim Dreigestirn des Festkomitees der Stadt Kerpen steht der Prinz nicht im Mittelpunkt. Bauer und Jungfrau stehlen ihm aber auch nicht die Show. Die drei Horremer verstehen sich als eingespieltes Team. Vor rund 500 Jecken hat Festkomitee-Präsident Jürgen	147	0	0	31833604fc4466f69613fb0282d2c8fba041d7d1oC.jpg
509718321	118751	https://www.ksta.de/region/leverkusen/eine-sache-des-bewusstseins-kommentar-zur-absperrung-der-rheinbruecken-baustelle-31833166	https://www.ksta.de/image/31832642/2x1/300/150/487829509e21434d207cd05dbe0d51fa/IK/wacht-am-rhein.jpg	119387		Kommentar zur Absperrung der Rheinbrücken-Baustelle	Das Projekt kostet nach heutigen Berechnungen knapp 800 Millionen Euro, es werden hier und da technische Klimmzüge zu machen sein, die dem Laien Bewunderung abnötigen. Doch bei den Vorbereitungen für den Bau der Rheinbrücke geht man mit der üblichen Wurst	18	0	0	31832642487829509e21434d207cd05dbe0d51faIK.jpg
509718589	118752	https://www.ksta.de/koeln/radikale-beteiligt-ueber-100-muslime-treffen-sich-unter-verschluss-in-ehrenfeld-31832970	https://www.ksta.de/image/31832962/2x1/300/150/6dcb86d17e8ac939202e661dd900025d/du/ditib-moschee-koeln.jpg	119388		Über 100 Muslime treffen sich unter Verschluss in Ehrenfeld	Die internationale Konferenz in der Kölner Zentralmoschee findet nahezu unbemerkt von der Öffentlichkeit statt. Gemeinsam organisiert von der türkischen Religionsbehörde Diyanet und ihrem deutschen Ableger, der Türkisch-Islamischen Union Ditib.Drei Tage l	489	847	4	318329626dcb86d17e8ac939202e661dd900025ddu.jpg
509719442	118753	https://www.ksta.de/freizeit/geniessen/restaurantkritiken/veganes-restaurant-in-koeln-im--sattgruen--kommen-auch-flexitarier-auf-ihre-kosten-31832778	https://www.ksta.de/image/31832776/2x1/300/150/89103cd5e48ac97f0ae05ee281d44ad8/fz/sattgruen-ludwigstrasse-060119.jpg	119389		Im „Sattgrün“ kommen auch Flexitarier auf ihre Kosten	Eigentlich könnte es das Sattgrün schon seit 12 Jahren in Köln geben. Besitzer Peter Zudrow suchte damals einen geeigneten Ort für sein veganes Restaurant. Weil er ihn nicht fand, eröffnete der Gastronom den ersten seiner mittlerweile fünf Läden in seiner	1308	831	5	3183277689103cd5e48ac97f0ae05ee281d44ad8fz.jpg
509719637	118754	https://www.ksta.de/politik/hackerangriff-auf-politiker-bka-geht-erster-spur-nach---razzia-in-heilbronn-31835032	https://www.ksta.de/image/31835030/2x1/300/150/16f9f2ef74f5fbaab4cfebd107e1ad06/zG/datendiebstahl-dpa-neu.jpg	119390		BKA geht erster Spur nach – Razzia in Heilbronn	Nach dem großangelegten Hackerangriff auf Daten von Politikern und Prominenten haben Ermittler nach ARD-Informationen die Wohnung eines Mannes in Heilbronn durchsucht. Der 19-Jährige arbeite im IT-Bereich und werde derzeit als Zeuge in den Verfahren gefüh	34	253	0	3183503016f9f2ef74f5fbaab4cfebd107e1ad06zG.jpg
509723542	118758	https://www.ksta.de/ratgeber/gesundheit/start-up-mit-der-therapiekugel-ich%C3%B3-sollen-demente-laenger-fit-bleiben-31833890	https://www.ksta.de/image/31833882/2x1/300/150/c9f2221aac19002d0e5dd4d402a9f861/Ff/ich%C3%B3-kugel-fuer-demente.jpg	119394		Mit der Therapiekugel Ichó sollen Demente länger fit bleiben	Ihnen ist ein großer Wurf gelungen, so simpel wie genial. Drei junge Männer aus dem Ruhrgebiet, die zu den zehn innovativsten Start-up-Unternehmen europaweit gekürt wurden, haben „Ichó“ aus der Taufe gehoben, die Therapiekugel für alte und demente Mensche	226	1081	5	31833882c9f2221aac19002d0e5dd4d402a9f861Ff.jpg
509724206	118759	https://www.ksta.de/region/rhein-sieg-bonn/troisdorf/singende-patienten--pneumissimo--singt-in-troisdorf-gemeinsam-gegen-die-atemnot-31832754	https://www.ksta.de/image/31832746/2x1/300/150/d93f71fc4b1b776017abb143f92f7b46/dR/71-142359685--null--06-01-2019-15-31-04-036-.jpg	119395		„Pneumissimo“ singt in Troisdorf gemeinsam gegen die Atemnot	Mit Dehnen und Räkeln beginnt die Probe, mit Gymnastik für die Fußgelenke und einem Rumpfkreisen im Sitzen. „Macht die Vokale gähnweit auf“, fordert Dr. Anette Einzmann später die Sängerinnen und Sänger in der Kapelle des Krankenhauses St. Johannes in Sie	131	0	0	31832746d93f71fc4b1b776017abb143f92f7b46dR.jpg
509724429	118760	https://www.ksta.de/region/rhein-berg-oberberg/koelschfaesser-als-gaben-die-verschiedensten-heiligen-drei-koenige-in-rhein-berg--31833268	https://www.ksta.de/image/31833254/2x1/300/150/e608dc39406c7c5e12fa09f4906f451b/JH/st--severin.jpg	119396		Die verschiedensten Heiligen Drei Könige in Rhein-Berg	Der Dreikönigstag ist im Kirchenjahr immer etwas Besonderes, denn jetzt erst ist die Krippe komplett. Die Drei Heiligen oder Weisen aus dem Morgenland stacheln den Ehrgeiz der Gestalter an, und so ist es kein Zufall, dass sie in unterschiedlichsten Ersche	9	0	0	31833254e608dc39406c7c5e12fa09f4906f451bJH.jpg
509724554	118761	https://www.ksta.de/region/leverkusen/stadt-leverkusen/ein-neuer-platz-in-der-stadt-flaeche-an-der-max-delbrueck-strasse-wird-ausgebaut-31833360	https://www.ksta.de/image/31833464/2x1/300/150/2727a2dfb183168669dda1ba8de60f5/IP/innovationsplatz-bald.jpg	119397		Fläche an der Max-Delbrück-Straße wird ausgebaut	Eigentlich hatte er 2018 bereits fertig sein sollen, der Platz der Innovationen. Unter diesem Arbeitstitel wird zurzeit die Fläche der Max-Delbrück-Straße zwischen dem Bistro „Der Weidener“ und dem Radiologischen Zentrum Med 3600 zu einem Quartiersplatz	34	19	0	318334642727a2dfb183168669dda1ba8de60f5IP.jpg
509724652	118762	https://www.ksta.de/region/euskirchen-eifel/positive-bilanz-fuer-2018-beschaeftigung-auf-rekordhoehe-in-euskirchen-31833764	https://www.ksta.de/image/31833760/2x1/300/150/6861d7ba7d99ee6c7c46d70e835948c8/sp/71-142366073--null--06-01-2019-18-46-43-092-.jpg	119398		Beschäftigung auf Rekordhöhe in Euskirchen	Rainer Imkamp hätte sich kaum eine bessere Premiere wünschen können. Erstmals bat der seit Juni amtierende Chef der Arbeitsagentur Brühl zur Jahresbilanz-Pressekonferenz - und durfte dabei für den Arbeitsmarkt im Kreis Euskirchen verkünden: „2018 war aus	16	0	0	318337606861d7ba7d99ee6c7c46d70e835948c8sp.jpg
509724723	118763	https://www.ksta.de/region/rhein-erft/die-industrielle-geschichte--braunkohle-sicherte-elektrifizierung-und-aufschwung-31833480	https://www.ksta.de/image/31833478/2x1/300/150/8286f6f45100cbc75a39dd2a107ee0b5/Ma/71-142320727--null--06-01-2019-17-49-24-700-.jpg	119399		Braunkohle sicherte Elektrifizierung und Aufschwung	Zuerst war da eine Kulturlandschaft, und nur wenige Bauern gruben im Nebenerwerb in kleinen Löchern nach Braunkohle. Ab 1850 aber wurden die Gruben größer, beeinträchtigten im Süden des heutigen Rhein-Erft-Kreises erstmals die Landschaft, und allmählich g	54	0	0	318334788286f6f45100cbc75a39dd2a107ee0b5Ma.jpg
509725024	118764	https://www.ksta.de/panorama/sexuelle-uebergriffe-richter-beordert-kevin-spacey-vor-gericht-31835282	https://www.ksta.de/image/31835274/2x1/300/150/de3764e91077e74b196bfaa89a14220e/aX/spacey-dpa-neu.jpg	119400		Richter beordert Kevin Spacey vor Gericht	Nach Vorwürfen sexueller Übergriffe muss der US-Schauspieler Kevin Spacey (59) am Montag vor Gericht erscheinen. Ein Richter auf der Insel Nantucket im US-Bundesstaat Massachusetts hatte die Anhörung angesetzt. Die Vorwürfe von unsittlichem Angriff und Kö	2	143	0	31835274de3764e91077e74b196bfaa89a14220eaX.jpg
